galaxy,npts,Vflat_kms,chi2_RST,chi2_MOND,log10_ratio,winner
CamB,9,16.8,79.6768,108.2017,-0.1329,RST
D564-8,6,24.0,7.7197,18.3020,-0.3749,RST
D631-7,16,58.0,16.7486,30.0551,-0.2539,RST
DDO064,14,46.4,0.3357,0.3631,-0.0340,RST
DDO154,12,47.4,40.0545,89.1504,-0.3475,RST
DDO161,31,66.8,67.2571,149.6276,-0.3473,RST
DDO168,10,54.8,16.6442,30.0646,-0.2568,RST
DDO170,8,60.0,45.5036,152.4577,-0.5251,RST
ESO079-G014,15,177.0,15.2964,7.9882,+0.2821,MOND
ESO116-G012,15,111.0,24.0569,12.8879,+0.2711,MOND
ESO444-G084,7,62.7,41.1010,27.7820,+0.1701,MOND
ESO563-G021,30,315.0,46.8422,53.5320,-0.0580,RST
F561-1,6,50.4,27.2149,40.2016,-0.1694,RST
F563-1,17,111.2,4.8092,2.7772,+0.2385,MOND
F563-V1,6,28.6,23.2313,34.3707,-0.1701,RST
F563-V2,10,118.0,5.9507,4.3271,+0.1384,MOND
F565-V2,7,78.5,3.6362,1.0935,+0.5218,MOND
F567-2,5,48.1,2.9825,7.1069,-0.3771,RST
F568-1,12,133.0,9.7093,6.8092,+0.1541,MOND
F568-3,18,112.0,2.6796,2.7814,-0.0162,RST
F568-V1,15,113.0,12.8281,9.3939,+0.1353,MOND
F571-8,13,140.0,43.8761,40.5682,+0.0340,MOND
F571-V1,7,83.9,0.2472,0.7838,-0.5011,RST
F574-1,14,99.5,8.1777,3.5163,+0.3665,MOND
F574-2,5,36.0,15.8199,23.2944,-0.1680,RST
F579-V1,14,114.0,4.4980,3.4224,+0.1187,MOND
F583-1,25,82.5,6.0498,3.4826,+0.2398,MOND
F583-4,12,67.2,0.0921,1.3114,-1.1533,RST
IC2574,34,64.5,102.5250,238.4497,-0.3666,RST
IC4202,32,244.0,44.9736,37.4068,+0.0800,MOND
KK98-251,15,34.2,15.6522,29.4109,-0.2739,RST
NGC0024,29,107.0,11.8056,10.4594,+0.0526,MOND
NGC0055,21,86.2,25.3594,51.1382,-0.3046,RST
NGC0100,21,89.0,1.4999,1.9856,-0.1218,RST
NGC0247,26,105.5,13.0216,4.3587,+0.4753,MOND
NGC0289,28,166.0,3.4803,11.6190,-0.5236,RST
NGC0300,25,94.2,7.3732,2.4049,+0.4866,MOND
NGC0801,13,216.0,59.5614,86.8976,-0.1640,RST
NGC0891,18,213.0,91.1474,34.8095,+0.4180,MOND
NGC1003,36,112.0,6.8586,13.0839,-0.2805,RST
NGC1090,24,162.0,22.2309,44.2761,-0.2992,RST
NGC1705,14,71.5,15.7772,14.5432,+0.0354,MOND
NGC2366,26,49.7,10.1464,25.3749,-0.3981,RST
NGC2403,73,134.0,106.7863,75.5923,+0.1500,MOND
NGC2683,11,155.0,1.0907,2.1379,-0.2923,RST
NGC2841,50,282.5,98.1757,86.2559,+0.0562,MOND
NGC2903,34,181.5,50.2604,12.6018,+0.6008,MOND
NGC2915,30,84.7,10.4308,7.6056,+0.1372,MOND
NGC2955,24,255.5,24.1308,7.9593,+0.4817,MOND
NGC2976,27,83.8,3.4192,3.0401,+0.0510,MOND
NGC2998,13,213.0,3.8403,15.4734,-0.6052,RST
NGC3109,25,66.2,11.3330,5.3708,+0.3243,MOND
NGC3198,43,148.5,1.6483,13.4166,-0.9106,RST
NGC3521,41,210.0,1.7755,0.7286,+0.3868,MOND
NGC3726,12,168.0,24.8569,24.9839,-0.0022,RST
NGC3741,21,50.1,4.8642,1.3523,+0.5559,MOND
NGC3769,12,118.0,4.1254,4.6556,-0.0525,RST
NGC3877,13,170.0,16.8219,13.1158,+0.1081,MOND
NGC3893,10,176.0,1.5818,0.8948,+0.2474,MOND
NGC3917,17,137.0,4.0332,2.8581,+0.1496,MOND
NGC3949,7,165.0,6.9262,2.2608,+0.4862,MOND
NGC3953,8,223.0,2.6994,2.4752,+0.0376,MOND
NGC3972,10,134.0,2.6987,1.8981,+0.1528,MOND
NGC3992,9,241.0,9.8784,9.2378,+0.0291,MOND
NGC4010,12,124.0,3.3293,3.9867,-0.0783,RST
NGC4013,36,178.0,10.1261,7.4877,+0.1311,MOND
NGC4051,7,154.0,14.4663,11.4249,+0.1025,MOND
NGC4068,6,36.0,13.6882,24.4895,-0.2526,RST
NGC4085,7,133.0,18.9571,13.1294,+0.1595,MOND
NGC4088,12,171.0,45.8428,35.8903,+0.1063,MOND
NGC4100,24,158.5,2.7320,3.3915,-0.0939,RST
NGC4138,7,147.0,0.7164,1.2131,-0.2287,RST
NGC4157,17,185.5,11.6630,9.0905,+0.1082,MOND
NGC4183,23,110.0,1.5322,3.6894,-0.3816,RST
NGC4214,14,80.6,5.4532,5.6680,-0.0168,RST
NGC4217,19,177.5,86.3787,55.7067,+0.1905,MOND
NGC4389,6,95.9,62.9897,54.0102,+0.0668,MOND
NGC4559,32,121.5,7.5212,13.8862,-0.2663,RST
NGC5005,18,264.5,3.2616,0.5432,+0.7785,MOND
NGC5033,22,193.0,19.6749,13.8574,+0.1522,MOND
NGC5055,28,179.0,1365.9640,770.5069,+0.2487,MOND
NGC5371,19,208.5,172.1417,170.7164,+0.0036,MOND
NGC5585,24,90.8,22.0051,26.2129,-0.0760,RST
NGC5907,19,215.5,9.8982,33.5714,-0.5304,RST
NGC5985,33,292.5,154.9611,158.4034,-0.0095,RST
NGC6015,44,155.0,27.6471,32.0096,-0.0636,RST
NGC6195,23,254.0,54.1348,26.5705,+0.3091,MOND
NGC6503,31,115.0,17.7975,2.8083,+0.8019,MOND
NGC6674,15,242.0,74.8007,24.5265,+0.4843,MOND
NGC6946,58,158.0,55.3737,25.6562,+0.3341,MOND
NGC7331,36,239.0,65.8751,35.9998,+0.2624,MOND
NGC7793,46,109.0,1.2725,0.9112,+0.1450,MOND
NGC7814,18,214.0,18.6006,27.2596,-0.1660,RST
PGC51017,6,18.3,105.2199,131.4378,-0.0966,RST
UGC00128,22,132.0,212.4286,96.9679,+0.3406,MOND
UGC00191,9,81.0,8.8458,29.6818,-0.5258,RST
UGC00731,12,73.9,18.1533,16.3562,+0.0453,MOND
UGC00891,5,60.1,7.1796,47.4771,-0.8204,RST
UGC01230,11,103.0,2.6822,3.6896,-0.1385,RST
UGC01281,25,55.4,0.7376,1.1157,-0.1797,RST
UGC02023,5,47.9,1.5597,2.5612,-0.2154,RST
UGC02259,8,88.3,85.5696,45.6065,+0.2733,MOND
UGC02455,8,53.1,126.5366,125.2091,+0.0046,MOND
UGC02487,17,331.0,362.9189,261.4014,+0.1425,MOND
UGC02885,19,298.0,3.3609,2.8343,+0.0740,MOND
UGC02916,43,209.5,225.6576,75.8731,+0.4734,MOND
UGC02953,115,264.0,125.9620,200.4049,-0.2017,RST
UGC03205,48,219.0,8.2512,12.1386,-0.1677,RST
UGC03546,30,193.0,48.3999,12.2388,+0.5971,MOND
UGC03580,47,122.0,125.7164,87.5554,+0.1571,MOND
UGC04278,25,88.2,3.9801,2.7839,+0.1552,MOND
UGC04305,22,35.1,50.9166,68.6578,-0.1298,RST
UGC04325,8,91.6,40.7918,29.3454,+0.1430,MOND
UGC04483,8,24.2,5.2888,11.2528,-0.3279,RST
UGC04499,9,73.3,2.4728,9.5693,-0.5877,RST
UGC05005,11,99.4,0.7555,2.4606,-0.5128,RST
UGC05253,73,243.5,45.0658,6.9144,+0.8141,MOND
UGC05414,6,56.8,4.2522,11.1281,-0.4178,RST
UGC05716,12,73.0,89.1398,37.5086,+0.3759,MOND
UGC05721,23,78.6,13.4278,12.3175,+0.0375,MOND
UGC05750,11,77.6,1.1523,3.2112,-0.4451,RST
UGC05764,10,50.0,397.8743,219.6605,+0.2580,MOND
UGC05829,11,65.6,0.7012,2.8489,-0.6089,RST
UGC05918,8,42.6,0.7206,1.2148,-0.2268,RST
UGC05986,15,109.0,44.6964,30.0920,+0.1718,MOND
UGC05999,5,97.7,2.0639,5.8009,-0.4488,RST
UGC06399,9,85.6,3.3823,0.7673,+0.6442,MOND
UGC06446,17,83.8,9.7086,4.8769,+0.2990,MOND
UGC06614,13,204.0,11.1614,9.8884,+0.0526,MOND
UGC06628,7,42.3,11.9583,16.3608,-0.1361,RST
UGC06667,9,85.0,43.0323,26.6587,+0.2080,MOND
UGC06786,45,226.0,159.8911,169.8078,-0.0261,RST
UGC06787,71,247.0,139.9089,200.0200,-0.1552,RST
UGC06818,8,71.2,5.4685,8.3684,-0.1848,RST
UGC06917,11,110.0,4.3911,1.4376,+0.4849,MOND
UGC06923,6,79.3,1.3813,2.2059,-0.2033,RST
UGC06930,10,108.0,1.1225,2.5343,-0.3537,RST
UGC06973,9,178.0,152.7111,90.9801,+0.2249,MOND
UGC06983,17,108.5,7.9153,3.6181,+0.3400,MOND
UGC07089,12,77.6,4.5535,10.0166,-0.3424,RST
UGC07125,13,65.1,77.7286,142.5078,-0.2633,RST
UGC07151,11,74.0,2.9837,3.7848,-0.1033,RST
UGC07261,7,74.7,0.8257,0.6634,+0.0950,MOND
UGC07323,10,82.8,2.4671,5.7739,-0.3693,RST
UGC07399,10,103.0,96.6682,76.3977,+0.1022,MOND
UGC07524,31,80.3,2.1394,5.3037,-0.3943,RST
UGC07559,7,31.1,5.4948,10.4890,-0.2808,RST
UGC07577,9,15.9,11.3487,17.5741,-0.1899,RST
UGC07603,12,63.0,9.2951,5.6308,+0.2177,MOND
UGC07608,8,66.0,2.9933,1.3141,+0.3575,MOND
UGC07690,7,56.9,2.3506,2.0540,+0.0586,MOND
UGC07866,7,30.6,1.6367,3.9443,-0.3820,RST
UGC08286,17,83.7,52.0087,27.1654,+0.2821,MOND
UGC08490,30,77.6,11.3891,5.7949,+0.2934,MOND
UGC08550,11,57.5,6.9275,2.5699,+0.4307,MOND
UGC08699,41,181.5,4.2794,6.4408,-0.1776,RST
UGC08837,8,46.6,23.6103,40.3226,-0.2324,RST
UGC09037,22,152.0,43.1316,45.6391,-0.0245,RST
UGC09133,68,228.0,27.2485,68.3367,-0.3993,RST
UGC09992,5,33.4,4.3530,7.3160,-0.2255,RST
UGC10310,7,72.4,1.3604,2.4830,-0.2613,RST
UGC11455,36,272.0,11.5315,6.7947,+0.2297,MOND
UGC11557,12,81.6,17.4631,20.6912,-0.0737,RST
UGC11820,10,81.2,19.6655,132.9508,-0.8300,RST
UGC11914,65,283.5,10.0133,69.8062,-0.8433,RST
UGC12506,31,230.0,9.8147,7.9045,+0.0940,MOND
UGC12632,15,73.1,3.8053,7.0952,-0.2706,RST
UGC12732,16,93.2,4.6992,3.7775,+0.0948,MOND
UGCA281,7,28.8,0.7954,3.3529,-0.6249,RST
UGCA442,8,56.5,2.7525,4.4366,-0.2073,RST
UGCA444,36,35.6,0.3859,2.0067,-0.7161,RST
